case_id,run_id,block,family_id,stratum,lesson_mode,condition,condition_order,case_chain_success,target_oracle_success,target_execution_success,semantic_target_oracle_success,semantic_target_execution_success,marker_present,failed_target_oracles,run_completed,task_outcome_success,task_model_calls,total_model_calls,reflection_model_calls,task_input_tokens,task_output_tokens,total_input_tokens,total_output_tokens,memory_injected,memory_rendered_count,duration_ms,tool_calls,tool_failures,successful_run_commands,successful_reads,successful_edits,first_tool,first_tool_succeeded,first_successful_run_command_position
npmem-b1-ledger-verification-rule-warm,run_e1de5e4e0fc34bd88e0ddd54e7ca5200,1,ledger-verification-rule,verification-rule,learned,warm,1,True,True,True,True,True,True,,True,True,6,7,1,42507,587,44927,953,True,1,11092,7,0,1,3,1,list_files,True,7
npmem-b1-ledger-verification-rule-cold,run_b5b2e6d524424add8fb5e9acb717441c,1,ledger-verification-rule,verification-rule,learned,cold,2,True,True,True,True,True,True,,True,True,8,9,1,55437,595,58043,934,False,0,11145,9,0,1,4,1,list_files,True,9
npmem-b1-cache-verification-rule-cold,run_9881f154761140bd901be4ca17a1952f,1,cache-verification-rule,verification-rule,seeded,cold,1,False,False,False,False,False,True,verification-ran,True,True,14,15,1,112964,1925,116139,2501,False,0,26637,15,2,0,6,1,list_files,True,
npmem-b1-cache-verification-rule-warm,run_cf1a61902fa04aecbeaf2d3e687d511f,1,cache-verification-rule,verification-rule,seeded,warm,2,True,True,True,True,True,True,,True,True,8,8,0,55310,599,55310,599,True,1,9509,7,0,1,2,1,list_files,True,6
npmem-b1-payload-command-warm,run_77e765d600734b2a86980f6c8997733d,1,payload-command,command-recovery,learned,warm,1,True,True,True,True,True,True,,True,True,5,5,0,34401,411,34401,411,True,1,5832,5,0,1,2,0,list_files,True,5
npmem-b1-payload-command-cold,run_9c4e82689247495fab52a1b9ea310324,1,payload-command,command-recovery,learned,cold,2,True,True,True,True,True,True,,True,True,6,7,1,40799,533,43640,912,False,0,12214,6,1,1,2,0,list_files,True,6
npmem-b1-parser-verification-rule-cold,run_0aa5d2b3fb2d44e299908418229f490e,1,parser-verification-rule,verification-rule,learned,cold,1,True,True,True,True,True,True,,True,True,6,7,1,43373,727,46141,1052,False,0,10522,8,0,1,5,1,file_tree,True,7
npmem-b1-parser-verification-rule-warm,run_4212a4b626214587b493d6a050d916c7,1,parser-verification-rule,verification-rule,learned,warm,2,True,True,True,True,True,True,,True,True,6,7,1,42287,547,44636,727,True,1,9133,6,0,1,3,1,list_files,True,6
npmem-b1-registry-order-constraint-warm,run_9b33732d97794709ba77d368e98e29e4,1,registry-order-constraint,project-constraint,learned,warm,1,True,True,True,True,True,True,,True,True,9,10,1,66110,883,68947,1179,True,1,13300,10,1,1,4,1,read_file,True,9
npmem-b1-registry-order-constraint-cold,run_5c53317e575c486299f8223c022c7e29,1,registry-order-constraint,project-constraint,learned,cold,2,True,True,True,True,True,True,,True,True,6,7,1,41892,683,44348,1022,False,0,11801,9,0,1,4,1,list_files,True,9
npmem-b1-expired-session-repair-cold,run_8bed30db538642e28415597d9acf15e1,1,expired-session-repair,code-repair,learned,cold,1,True,True,True,True,True,True,,True,True,6,6,0,41370,641,41370,641,False,0,8978,8,0,1,3,1,list_files,True,8
npmem-b1-expired-session-repair-warm,run_b06062815e134b60821940f3820b2c95,1,expired-session-repair,code-repair,learned,warm,2,False,False,False,True,True,True,target-content,True,True,9,9,0,66150,1085,66150,1085,True,1,12956,10,0,1,2,1,todo_write,True,9
npmem-b1-release-command-warm,run_51d55ff408c24c4ba1106d0af6e5b0c5,1,release-command,command-recovery,learned,warm,1,True,True,True,True,True,True,,True,True,3,3,0,20256,336,20256,336,True,1,4983,2,0,1,0,0,list_files,True,2
npmem-b1-release-command-cold,run_d7d6c7adf9f84893afe969d37c32d254,1,release-command,command-recovery,learned,cold,2,False,False,False,False,False,True,verification-ran,True,True,8,9,1,57094,1742,60623,2124,False,0,22788,9,4,0,2,0,list_files,True,
npmem-b1-cli-command-cold,run_9dcb488d587842c39bf73cc8bb064fa4,1,cli-command,command-recovery,seeded,cold,1,True,True,True,True,True,True,,True,True,6,7,1,40884,463,43344,640,False,0,10124,7,1,1,2,0,list_files,True,7
npmem-b1-cli-command-warm,run_db0ec539e436437da54885e8665efe06,1,cli-command,command-recovery,seeded,warm,2,True,True,True,True,True,True,,True,True,2,2,0,13298,183,13298,183,True,1,2924,1,0,1,0,0,run_command,True,1
npmem-b1-optional-field-constraint-warm,run_c6b3288a0a3446aaaba0224fd79501ac,1,optional-field-constraint,project-constraint,learned,warm,1,True,True,True,True,True,True,,True,True,8,9,1,58142,630,60608,921,True,2,12315,9,0,1,4,1,read_file,True,9
npmem-b1-optional-field-constraint-cold,run_2e43b192933447b98bc75f42a4944109,1,optional-field-constraint,project-constraint,learned,cold,2,True,True,True,True,True,True,,True,True,8,9,1,58829,875,62667,1557,False,0,15696,11,3,1,4,1,list_files,True,11
npmem-b1-exclusive-window-repair-cold,run_315b3a2094e742228acc11ef0635576d,1,exclusive-window-repair,code-repair,seeded,cold,1,True,True,True,True,True,True,,True,True,8,8,0,55715,1001,55715,1001,False,0,12248,9,0,1,3,1,list_files,True,9
npmem-b1-exclusive-window-repair-warm,run_d370bd130d294cbea5dbb5768af62fd4,1,exclusive-window-repair,code-repair,seeded,warm,2,True,True,True,True,True,True,,True,True,8,8,0,55963,605,55963,605,True,1,9451,8,0,1,3,1,read_file,True,8
npmem-b1-token-normalization-repair-warm,run_abdc4df3436c4468a96db6281f431b0a,1,token-normalization-repair,code-repair,learned,warm,1,True,True,True,True,True,True,,True,True,6,6,0,42025,585,42025,585,True,1,9544,6,0,1,2,1,list_files,True,6
npmem-b1-token-normalization-repair-cold,run_41e6daaf33a149d28dba71fa8b9cd065,1,token-normalization-repair,code-repair,learned,cold,2,True,True,True,True,True,True,,True,True,5,5,0,34585,554,34585,554,False,0,7798,7,0,1,2,1,list_files,True,7
npmem-b1-error-envelope-constraint-cold,run_97c7835496084eb499c7c11d373824b4,1,error-envelope-constraint,project-constraint,seeded,cold,1,False,False,False,False,False,False,target-marker;verification-ran,True,True,5,5,0,34829,437,34829,437,False,0,5883,7,0,0,3,1,list_files,True,
npmem-b1-error-envelope-constraint-warm,run_74014a8a4e3a43edbfa8a13b8f79a5b5,1,error-envelope-constraint,project-constraint,seeded,warm,2,True,True,True,True,True,True,,True,True,10,11,1,75638,1352,79507,2140,True,1,20502,13,2,1,4,1,read_file,True,12
npmem-b2-exclusive-window-repair-cold,run_ce6c50d473e949f79860f55b29d32ada,2,exclusive-window-repair,code-repair,seeded,cold,1,True,True,True,True,True,True,,True,True,8,9,1,56327,812,59521,1199,False,0,14351,9,2,1,2,1,list_files,True,9
npmem-b2-exclusive-window-repair-warm,run_4eaf275abeb143cdaf2ae91c91917e08,2,exclusive-window-repair,code-repair,seeded,warm,2,True,True,True,True,True,True,,True,True,9,10,1,64798,1001,67500,1362,True,1,15563,8,1,2,2,1,read_file,True,6
npmem-b2-parser-verification-rule-warm,run_b20734faa92c493085a254c040dcc2e0,2,parser-verification-rule,verification-rule,learned,warm,1,True,True,True,True,True,True,,True,True,12,13,1,102063,1613,105601,1908,True,1,21507,16,1,1,6,1,read_file,True,14
npmem-b2-parser-verification-rule-cold,run_ab268f436e084d028b1d86dc173e26ee,2,parser-verification-rule,verification-rule,learned,cold,2,False,False,False,False,False,False,canonical-success;target-marker;verification-ran,True,False,50,50,0,773101,14681,773101,14681,False,0,151767,53,31,0,8,2,list_files,True,
npmem-b2-token-normalization-repair-cold,run_68daf7f01256444e91686cfa84fb8875,2,token-normalization-repair,code-repair,learned,cold,1,True,True,True,True,True,True,,True,True,11,12,1,82105,1283,86393,2255,False,0,22762,13,4,1,4,1,list_files,True,12
npmem-b2-token-normalization-repair-warm,run_b70a8b62bc2f4ca2b12a3a4c996f2b32,2,token-normalization-repair,code-repair,learned,warm,2,True,True,True,True,True,True,,True,True,6,6,0,42663,741,42663,741,True,1,9279,6,0,1,2,1,read_file,True,6
