case_id,run_id,block,family_id,stratum,failure_required,lesson_written,verified_learning,run_completed,task_outcome_success,task_model_calls,total_model_calls,reflection_model_calls,task_input_tokens,task_output_tokens,total_input_tokens,total_output_tokens,memory_injected,memory_rendered_count,duration_ms,tool_calls,tool_failures,successful_run_commands,successful_reads,successful_edits,first_tool,first_tool_succeeded,first_successful_run_command_position
npmem-b1-ledger-verification-rule-warm,run_324338e83c2642e5b2120411e7b59100,1,ledger-verification-rule,verification-rule,False,True,True,True,True,5,6,1,34932,560,37423,917,False,0,9170,8,0,1,3,1,read_file,True,8
npmem-b1-payload-command-warm,run_6f5487b0e3cb4ad8a87cb93d0fc72f32,1,payload-command,command-recovery,True,True,True,True,True,5,6,1,34712,521,37028,868,False,0,10000,5,1,1,1,0,run_command,False,4
npmem-b1-parser-verification-rule-warm,run_3e726c6fa3da4ffa933d20c46638da40,1,parser-verification-rule,verification-rule,False,True,True,True,True,7,8,1,50098,724,52783,1064,False,0,12210,10,0,1,4,1,list_files,True,9
npmem-b1-registry-order-constraint-warm,run_59d0cb15af7e4eab9db8b7d7e5f62e13,1,registry-order-constraint,project-constraint,False,True,True,True,True,7,8,1,49328,720,51916,891,False,0,11077,9,0,1,3,1,list_files,True,8
npmem-b1-expired-session-repair-warm,run_5da6cf7a989645b9b0aa9dddf4af92bc,1,expired-session-repair,code-repair,True,True,True,True,True,5,6,1,35450,489,38001,853,False,0,9094,5,1,1,2,1,run_command,False,5
npmem-b1-release-command-warm,run_9fa3b2896fda4f8fab54091a5ecdd108,1,release-command,command-recovery,True,True,True,True,True,5,6,1,34945,472,37574,816,False,0,8768,5,1,1,1,0,run_command,False,4
npmem-b1-optional-field-constraint-warm,run_5dfa1e5b53034288b487432a55d55fce,1,optional-field-constraint,project-constraint,False,True,True,True,True,7,8,1,49389,665,51776,960,False,0,10671,8,0,1,3,1,list_files,True,8
npmem-b1-token-normalization-repair-warm,run_a344808fa92e4cbebbc370f0c4f377b0,1,token-normalization-repair,code-repair,True,True,True,True,True,5,6,1,35484,562,38059,903,False,0,9669,5,1,1,2,1,run_command,False,5
npmem-b2-parser-verification-rule-warm,run_3739be0688e2459b81dad44ac565bf0f,2,parser-verification-rule,verification-rule,False,True,True,True,True,6,7,1,40941,428,43310,623,False,0,8346,6,0,1,3,1,list_files,True,6
npmem-b2-token-normalization-repair-warm,run_23c2a69cb3da4becb4ed9dda0b2fa348,2,token-normalization-repair,code-repair,True,True,True,True,True,5,6,1,35473,490,38051,842,False,0,9559,5,1,1,2,1,run_command,False,5
npmem-b2-ledger-verification-rule-warm,run_ec360a48bcf141c49e97edacd0f33ac6,2,ledger-verification-rule,verification-rule,False,True,True,True,True,6,7,1,41904,570,44401,942,False,0,11088,8,0,1,3,1,list_files,True,8
npmem-b2-payload-command-warm,run_3b4dad97ba25480c8edb61bb9e0759c1,2,payload-command,command-recovery,True,True,True,True,True,4,5,1,27255,404,29254,754,False,0,8260,4,1,1,0,0,run_command,False,4
npmem-b2-optional-field-constraint-warm,run_5fc47cfca3504c3fb92563fd7281e08b,2,optional-field-constraint,project-constraint,False,True,True,True,True,7,8,1,50760,749,53415,1041,False,0,11128,9,0,1,4,1,read_file,True,9
npmem-b2-release-command-warm,run_815f57bf6f984d5bb474d4e2901a363c,2,release-command,command-recovery,True,True,True,True,True,6,7,1,42028,485,44605,822,False,0,9726,6,1,1,2,0,run_command,False,6
npmem-b2-registry-order-constraint-warm,run_28bdf9ae874b49d6b766d9b339276701,2,registry-order-constraint,project-constraint,False,True,True,True,True,6,7,1,42708,537,45124,709,False,0,9713,8,0,1,4,1,list_files,True,8
npmem-b2-expired-session-repair-warm,run_db734b9d470b40329b69ced15e7e37f2,2,expired-session-repair,code-repair,True,True,True,True,True,6,7,1,42985,552,45753,1082,False,0,12196,6,2,1,2,1,run_command,False,5
npmem-b3-optional-field-constraint-warm,run_3c29373c1cc64d0b96cf0e96db929471,3,optional-field-constraint,project-constraint,False,True,True,True,True,5,6,1,34866,498,36943,667,False,0,10762,5,0,1,3,1,read_file,True,5
